review,rating
"O App simplesmente parou de notificar qualquer atividades no meu aparelho.

Possui um iPhone 6S e o App simplesmente não me notifica de nada! 

Já fiz todos os procedimentos: chequei as configurações do meu aparelho, chequei as configurações do aplicativo e já desinstalei e instalei o aplicativo e nada foi resolvido.. 

Espero ter um retorno de vcs pois isso já vem acontecendo a meses. 

Obrigado!",5
não gostei que agora só posso ver qm viu o story dentro de 24hrs,2
"Não gostei dessa atualização, pois retirou a possibilidade de olhar quem visualizou os destaques da história.",1
"App dando problema, fica fechando sozinho, todo dia tenho q desinstalar duas vezes e instalar novamente",1
"Não aparece as visualizações depois de 24 horas, pra que serve o destaque então?
Pior atualização, voltem ao que era antes e mostre as visualizações independente do tempo decorrido",1
quando eu vou entrar na minha conta aparece uma mensagem escrito “Erro. Ocorreu um problema com a sua solicitação”,1
"Está fechando sozinho , não consigo ficar mais de 30 segundos .
Tenho iPhone 5c é por isso ? Algum bug ?
Please, arrumem !",1
"Meu insta não tem o negócio de perguntas 😢 já atualizei, exclui reinstalei e NADA!!! To",1
"Meu instagram não esta abrindo no meu iphone, alguém pode me ajudar?",5
"Meu aplicativo não está funcionando pois solicita confirmação de conta. Já foi feito a confirmação, mas não consigo acessar minha conta. Preciso de ajuda!",5
"os pontinhos sumiram e não passa pro próximo automaticamente, quando termina fica repetindo, pra passar tem que tocar na tela... odiei, instagram please fix it",1
"O instagram não permite mais ver quem vizualizou nossos stories passados (arquivo). Há apenas o número de vizualizações. 
Péssimo!!",1
Não aparece a atualização de perguntas pra mim já está tudo atualizado e nada,1
O nova atualização não mostrou a opção de perguntas no meu histórico. Tem como corrigir esse problema ? Outras pessoas também disseram que estão com o mesmo problema.,5
Agora não dá pra curtir mais nada que o app sai! ARRUMEM ISSO!!!,1
"Toda vez que uma pessoa faz um novo storie, quando você abre vai pro primeiro que ela tinha feito, sendo que já eram stories já visualizados. Você tem que pular tudo até chegar não últimos! Arrumem isso!",5
"Essa última atualização do feed do Instagram, na versão 233.1.0.4.112, ficou muito ruim, a foto ou vídeo ficam escuros, o texto da publicação fica em cima tampando parte do vídeo e foto, não dá pra ver direito, não tem como ler o texto da publicação inteiro… O feed antes era bom, e com a atualização ficou muito ruim, escureceram a tela, e ficou parecendo a rede social Facebook.",1
"Pelo amor de deus voltem com o feed antigo, esse novo feed imitando tiktok está horroroso pra visualizar qualquer coisa, além do texto ficar em cima da imagem. Agonizante usar o instagram agora",1
"O meu Instagram até hj não tem a opção para colocar música! Absurdo, tenho minha conta desde 2012/2013.
Já outras contas feitas recentemente, todas tem a atualização.",3
um lixo esse feed novo que parece com o tiktok,2
"O app esta fechando sozinho, o aplicativo já estava fechando sozinho, achei que fossem acertar nessa atualização , porém o problema persiste..",5
"Essa nova interface do Feed acabou com a graça de usar o Instagram, não ter uma timeline pra rolar do meu jeito é péssimo, além de todo conteúdo estar muito invasivo e as fotos 5:4 ficam piores ainda. O controle do som não existe, por que se clica uma vez pausa, se clica duas da like. O Instagram se perdeu muito tentando imitar o tik tok e tentando enfiar os reels idiotas garganta a baixo.",2
"Sem condições esse novo feed, pelo amor de Deus volta ao normal, tá horrível esse novo feed imersivo, tem q da a opção de voltar ao antigo estilo de feed. Devolve meu Instagram normal.",1
