review,rating
"Instagram support Team, I hope this massage finds you well. I am writing to bring to your attention an issue that has been affecting my experience on the platform and the engagement of my contact. Recently, I have noticed a significant decline in the reach of my reels, and it appears that they are not being pushed to a wider audience, I am committed to following all consistently create original content. I have thoroughly reviewed my account and content, and I can confirm that there are no violations of Instagram's policies or guidelines from my side. Despite this, the sudden drop in reach is quite disheartening, and it has started to demotivate me. I kindly request your assistance in investigating and resolving this issue promptly. It is essential for creators like myself to have a fair and transparent platform where we can showcase our creativity and connect with your guidance. I believe that resolving this reach problem with not Only benefit me but also
contribute to the overall positive experience of Instagram for all its users. I would appreciate it if you could review my account and identify and possible reasons for the reach Issue.",5
"These days reels and post are not engaging as the past. If I have 50k followers, my content is not reaching even that 50k followers, every post will get less than 1000 views. I’m even posting in better quality than before but my low quality videos in past years gave me good result and reached more right audience. ‼️One of the major issue that I’m facing is decreasing in followers count every day more than increasing when someone follows. I never met with this problem in any other social media application.‼️ This issue I addressed several times by contacting Instagram, but actually they never consider it rather then they send some stupid mail every time to make changes and force us to use all the new features that they created but the issue is not yet solved. 
As a content creator I really hate using Instagram these days. Only felt disappointed after putting much effort in each content. 
❌Not reaching the right audience 
❌Unfollows are more which is unusual 
❌Less reach , Less followers, More unfollowers that Instagram does, not 1000 people will unfollow you everyday without posting a worst content. 
Not seen this problem in any other application. In other social media application, even if I open the application after an year the followers count remains same . If someone follows it only increases which gives us more enthusiasm to do more. Unlike Instagram, which gives only disappointment.",5
"Please think about adding these features - 1/Muting everybodies stories at once 2/We should have a choice whether we want to keep chat option or not & people should know if we are not using the chat feature. It’s annoying when there are so many messages but we don’t want to reply & we know they are waiting for reply so please think about this feature Not everyone comes to Instagram to socialise Some of us just come to post pictures & leave 3/ An option to keep selected highlights private / public, Our acc might be private but we still want something to be seen publicly same with public, we need somethings to be private. 4/If our account is public, we should have an option where we can choose if people who don’t follow us can view our stories or not 5/Or just like we have follow request for acc we should have story request and only if we accept, they can view our stories. This is because sometimes we want people to see our feed but we can’t keep acc public because there are nosey ppl for example family members who spy on our stories to stay updated, stories are much more personal & time updated so it’d be better if we had the control to accept only the people we trust. Hiding stories don’t work because they can find that out easily through other accounts. Thankyou",3
"Instagram (Meta) support Team, I hope this massage finds you well. I am writing to bring to your attention an issue that has been affecting my experience on the platform and the engagement of my contact.
I have noticed a significant decline in the reach of my reels, and it appears that my Reels are not being pushed to a wider audience when ever I accept collab with any other accounts ny followers are unable to see the content which isn’t helping me to reach my audience , I am committed to following all consistently create original content.
I have thoroughly reviewed my account and content, and I can confirm that there are no violations of Instagram's policies or guidelines from my side. Despite this, the sudden drop in reach is quite disheartening, and it has started to demotivate me. I kindly request your assistance in investigating and resolving this issue promptly. It is essential for creators like myself to have a fair and transparent platform where we can showcase our creativity and connect with your guidance. I believe that resolving this reach problem with not Only benefit me but also contribute to the overall positive experience of Instagram for all its users. I would appreciate it if you could review my account and identify and possible reasons for the reach issue. Thanks.",3
"reasons. But since past few months I've been . I'm editing reels, somehow exposure get increased, without any specific icon of it. My update is latest and all i can do is reedit my reels back n forth till the time it doesn't affect filter of my content. reporting about my problem and it is not fixed till this very moment. Your app is providing various fonts on story button and even after updating with all the latest versions I'm still not getting those fonts in my id. And even after reporting like 4-5 times, there still no actions taken. And its not about only font styles but it is about the difference you guys are creating by not providing equal options to every user. Even in my nears and dears i see they don't have music on story option even earlier it was available and one day it's gone just like that. The same has happened with me in the past, thats not professionalism that your app suddenly take away the existing options and some have opportunity to use and some can't get same options with all the latest updates. I have never experienced this kind of issue in any other application, where everyone have different accessibilities with similar updation. This is very unfair and disappointing.",3
"Although instagram is my favourite social media platform ,but since past few days I'm facing a serious issue that is my brother uninstalled and reinstall instagram then when i tried to login into my account, my ""correct"" password was showing incorrect again and again still I tried to reset my password but even after reseting the password the new password is also showing as incorrect password, meanwhile when i logged in my account in instagram's page at chrome there i can log into my account with same password that was showing incorrect at instagram official act.... then even I tried to login my family member's account but there's the same problem with those account also and now i'm unable to access any of my instagram account l've to make a new account that was the only option but i want to have access to my earlier account those are important and with this issue i can't use instagram according to my will as except the new account i can't login to any other account......i hope this will reach the instagram team and you'll address this issue as soon as possible (as this have ruined my overall experience of using instagaram",3
"No doubt instagram is really good application but i  face so manu problms After reporting an issue around thousands of times, there is no one bother to reply atleast for asking whats wrong and why am Ireporting issue. This action was blocked. We restrict some actions to save our community, etc etc"" | dont even figure out, whats wrong if I am trying to like photos of my friends on social media. This is not something which I am liking random pics of anyone and doing any offensive things. I am trying to like picture of my friends who are my followers also the one who accepted my following requests. Have reported this issue thousands of time still there is nothing, no reply. My Instagram account is facing a big problem, my account is creating an issue, I am having an action block problem when messaging someone in my account, please request a solution to solve this problem. That this problem should dry up as soon as possible and fix my instagram account back. Someone has reported me wrong so please address my problem Madhan and to give fix my account Instagram I request u please | Instagram team started back my account Thank You.",3
"Although instagram is my favourite social media platform ,but since past few days I’m facing a serious issue that is my brother uninstalled and reinstall instagram then when i tried to login into my account, my “correct” password was showing incorrect again and again still I tried to reset my password but even after reseting the password the new password is also showing as incorrect password, meanwhile when i logged in my account in instagram’s page at chrome there i can log into my account with same password that was showing incorrect at instagram official act….then even I tried to login my family member’s account but there’s the same problem with those account also and now i’m unable to access any of my instagram account I’ve to make a new account that was the only option but i want to have access to my earlier account those are important and with this issue i can’t use instagram according to my will as except the new account i can’t login to any other account……i hope this will reach the instagram team and you’ll address this issue as soon as possible (as this have ruined my overall experience of usimg instagram).",2
"Please instagram bring an option to hide our comments from certain people on our posts. Because there are some people who are always eyeing on us so please bring this feature. To be honest, Instagram is going worst day by day. Why Facebook is trying to bring chaos on Instagram now? Let it be simple like the very old Instagram version. Why Facebook is being so many unnecessary features on Instagram. Let it be a photo sharing app and not more than that. Facebook is now making Instagram cringe by merging messenger features and changing the entire interface of Instagram. It’s not user friendly anymore. When Facebook started being changes on Facebook, we stopped using it and now the same is happening with Instagram too. Don’t let us stop using Instagram by bringing and merging Facebook with Instagram. It’s frustrating. Why do you want ya to chat with the ones using messenger? Why? Let the Facebook people talk on fb and Instagram people on Instagram. Why the hell you guys are merging it? And the iconic dm icon has also been turned to messenger icon. Tbh, it’s disgusting. You guys look into this please. And make it like the previous version of Instagram. No Facebook like things are required on Instagram.",1
"I’m so much frustrated with Instagram. Whenever I try to add multiple clips for reels and the time when I write something on the video and add filters, it start creating problems like automatically the app will close, when I play the video it will stop in between, after uploading the video sometimes caption will not visible, and even though I applied filter but after uploading it will show the original video only. Other apps are working properly and also this problem is not about storage and all. I have iphone13 pro and have enough space too. I have uninstalled and reinstalled many times. I have tried everything to make it work properly and I always ended up by Wasting so much time only to create one video. Also it reduce the quality of 4k videos. So Overall Instagram is going worst day by day. I’m so upset with Instagram. I have reported many times but no response. And at last I had to use this platform to raise my queries. I get notification once in a every week to update this app. And this is the current condition of this app. I hope it will help you to improve the bugs. Hopefully, this time I will be able to get the answers.",2
