review,rating
"I’ve used Uber for a long period of time and it’s worked for me.  However on 2 recent occasions I’ve been hit with a fine for allegedly not being at the pick up points to meet the drivers.  The first time was a few weeks ago at LAX. I was in fact standing directly in front (within 24”)of the LAX international departures pick up point that I’d specified when booking. There were plenty of parking spots at this meeting point. However I discovered the driver had parked 20 metres away behind SUVs and I couldn’t see him in the throng. Uber hit me with a fee for not being on location !!  The 2nd time was a few days later in Canberra. The driver come to the opposite side of the pick up point on an 8 lane boulevard and parked.   I couldn’t see him or cross because of trees and traffic.  So I got hit with a $10 fee for not being at the pick up point.  It seems this is being used as a top up device by Uber and/or drivers to cream additional money from customers.  Beware !!  

Theres just been a 3rd time. Rajesh the driver stopped a good 30 to 40 metres short of the pick up point. I had to walk through the traffic at night to find him. I told him this politely, his response was hostile and arrogant and he rated me down in the customer rating system.  This is either a scam or the technology doesn’t work or some drivers are wilfully passive aggressive. I guess we will never know which.",5
"Fabulous especially when in a town or country you are not familiar with so that you don’t feel you are ripped off by taxis ‘negotiating’ (telling you an outrageous price because they know you are a tourist) because you can’t speak the language - instead the app is the same worldwide. 

Only have had one bad experience when Uber driver refused the fare after accepting because she realised the fare was to the airport and didn’t want to pay the toll in Melbourne yet I would be paying as the customer. She waited and wanted me to cancel and I said no but I was charged a cancellation fee for not showing up - Uber help via the form was very helpful and reversed it as they could see via the app that I waited and immediately requested another Uber once the other one cancelled. I believe there is a help line which I will use immediately if ever this happens again. Thankful I left plenty of time to go to the airport and there were lots of Ubers…the next driver said it is a common thing to have issues with driving to the airport but he said it really shouldn’t be as he has always had a return ride from the Uber waiting area at the airport. This has not put me off and I have used Uber in many countries.",5
"I have had problems with purchasing Uber Gift Vouchers and trying to create a new account to then be able to  access my purchased gift vouchers credit,

The system would accept the gift vouchers but I could not initiate a ride  (credit Acknowledged by Uber & copy receipts of purchase submitted to Uber) after a week of receiving, what I believe generic responses & run around! A week later & after being put through many time wasting hoops by a supposed support system (you cannot talk to anyone in Australia to try & navigate through the issues with the app) - you are then asked to submit personal information through a NON SECURE PLATFORM  certain information  from specific info from your  credit card & Photo ID’s with no idea  who, what & why they are indenting to do with this information??
At the end of the day, Uber is holding $500 Australia gift vouchers of my money purchased in good faith &  I cannot access to initiate a Uber ride unless I supposedly put my personal identity at great risk to supply them what they want (possibly another hoop) through a platform that is not secure or encrypted! 
Be very aware people! & be aware of my experience with the app & gift vouchers!",5
"Uber needs to be tougher on drivers. Had a driver last week confirm he picked me up while I was still waiting at the pick up zone and I could see on the map he never came anywhere near me. I watched on the map as he drove down the road, ended the trip nowhere near the drop off and I was charged the full amount for the trip! Put in a request for a refund but that takes 7-10 business days to go back into the account. Surely if Uber tracks both driver and passenger locations it should be pretty obvious that he left me stranded. Then today I tried to get a ride, waited 15 minutes for someone to accept the ride only to cancel a few minutes later. Once you accept a job you should finish it unless there’s an emergency, and in that case they shouldn’t be able to accept another offer for a time. This app used to be a great alternative to overpriced, scammy taxis but now they’re just as bad and nearly as expensive, pulling all the same bull that taxi drivers do.

Update: still cancelling. Taking an hour to get a ride. Got cancelled on 4 times with ridiculous wait times and still costing me $45 to get to work. If you get cancelled on more than twice you should be prioritised, driver should have to contact to cancel and you should get a heavy discount. I’m just trying to get to work and lazy drivers are going to cost me my job in that case I will sue for lost income. Fix this app.",1
"Uber was once a reliable and convenient service that I used with great satisfaction. The ease of booking and the consistently excellent service made it my go-to choice for transportation. However, I regret to say that the quality has deteriorated significantly over time. These days, booking an Uber has become an exercise in frustration. More often than not, my rides are canceled, and I find myself waiting for extended periods before finally securing a trip—usually by the third attempt. This level of unreliability is incredibly disappointing and has led me to seek alternative transportation options. The introduction of UberPet was something I initially welcomed, as it seemed like a great solution for traveling with my furry companions. However, I've experienced similar issues with this service as well. Rides are frequently canceled, making the entire concept of UberPet feel pointless. It's disheartening to see a service that was once a shining example of convenience and efficiency fall so far from grace. Uber needs to take urgent steps to address these concerns and regain the trust of its customers. The decline in service quality and the unreliability of both regular Uber rides and UberPet has led me to stop using the platform altogether. I hope that Uber recognizes these issues and works towards the improvements necessary to restore its reputation as a reliable and convenient mode of transportation.",1
"Guess what, Uber is manually controlling trip requests now, that means the closest driver do not get the trip from the closest passenger requesting, passengers would have experienced that, that they often don’t get the closest driver. Price surge on Saturday and Sunday mornings are not due to high demand, but due to the lack of drivers in the area, (Drivers normally work Friday and Saturday nights till mornings then go home for rest, Uber sees that there’s not many drivers left in the city, Uber surge the area they want to, to get drivers and make the passengers pay for it, that’s why surge disappears when driver makes it to surge area, once Uber knows there’s enough drivers in that area, Uber make the surge disappear, you as a driver see surge is gone and left waiting for hours without getting any trip but you don’t wanna go home, ever wonder why? I will leave it to you. 
Now for the passengers; there are always more drivers available in the area than the trip requests made by passengers in that area, yes any time anywhere, you as passenger are paying more for nothing. I have to be honest Uber does not do this all the time, but at least 80 % of the time. There’s so many other tricks they play like geo fencing, constantly sharing your data etc, As a human being i had to share some of their tricks, you want cheaper rides but constantly giving away your freedom, your future and your kids, just like once upon a time the bankers fooled us and now we are stuck.",1
"I don’t like how I planned on going to work and I tried to get an Uber but my card declined but I had money in it , it was honestly so stressful needing transport ASAP to get to work on time but there was some problem with my card apparently. The problem was so terrible that it wouldn’t let me get a ride , I tried contacting Uber support on facebook and they couldn’t fix it either . Firstly I tried logging into my Uber account by putting in my number and it said my account was disabled, I couldn’t log into my account so I decided to log into my friends accounts and add a payment method of my card and tried to get a ride and some issue came up saying “ oops, something went wrong. VISA-1234: Your payment method is invalid, please update your billing settings”. This was the time when I needed Uber urgently and it wouldn’t work . I even added my friend’s card to my account to see if that payment method would work and still, the same issue came up saying “oops something went wrong”. Like I really needed to use Uber and it wouldn’t work it was so stressful I literally lost a 10 hour shift tonight because Uber wasn’t working for me. Anyways I need my account to work because I love Uber and my past trips were always on time and quick so I would really love for the staff to fix this problem immediately so that I can happily use Uber whenever I need quick transport, thanks from Sarah.",2
Sorry Garry but you are there to provide a service to the paying customer. It is not a social interaction unless they want it. People ride Uber or Taxi to save time and to get things done in the trip they can’t do on a train. If they want to talk the whole way to their friend it is their choice as the customer. I acknowledge it may seem rude and I myself would not behave in this way but not everyone has manners. I’m a driver also. I follow the lead my customers provide when getting into the vehicle. If they chat I chat also but always keep it professional. I was an Uber passenger in May and on a long journey home and welcomed the chat from the friendly young driver until he became unprofessional and my trip in the front seat was uncomfortable and upsetting as he spoke inappropriately to me a passenger who could have easily been his mother. My son would not have been happy if I told him what he said. I live alone and he knew this because he cunningly asked in what seemed like passing time when he was scoping my domestic situation. He had my address and offered to come back some time for an experience with what he said “a beautiful older woman “. My work had paid for the Uber home otherwise I would have gotten out. It’s drivers like this and experiences like this that cause passengers to keep to themselves.,2
"Until today I have had only fairly positive experiences with this service. Ok the quality of the car, music and conversation may vary but it’s been a fairly smooth process to date.

Then today I book a car who is 2 mins away, drives straight past me ( ok that can happen) but when he realises he turns the corner ( all I have to do is cross the road to get to him) and rather than wait or call he does a u-turn ends up in a situation where he can’t then turn right where he needs to, I call him to say I can see you stay there I’ll cross the road but he tells me he’s going around the block and he ends up exactly where he was before unable to turn right. I explain if he stays where he is I’ll come to him. But know he again tries to go around the block with a few extra detours this time and he ends up 15 mins away. So after 18 mins he cancels the pick up and I get charged $10 cancellation fee.

Yes, I can claim it back, but I should never have been charged this fee in the first place. I’m the one who should have received the $10 for the inconvenience of a total 30 min pick up time when the car I initially booked was 2 mins away.",5
"Very disappointed with the way Uber has hidden the surge pricing now. It used to be very clear what the surge amount was and you had the opportunity to accept or decline it. Now it’s built into the fare estimate which is ok if you know how much the basic fare would be and can calculate how much the surge amount is to then decide if it’s reasonable value or not. When it’s especially NOT ok is when you don’t know what the basic fare should be (eg. visitor or tourist not familiar with distances in a new place) and you just have to accept the fare even if it’s a high surge amount.
I understand the business logic in having surge pricing but I don’t like the way it’s being hidden instead of being clearly displayed like it used to be. Drivers don’t seem happy with the way it’s going either. 
Uber was a fantastic idea and still can be if they stop being deceitful and greedy to their clients and their drivers. Please Uber, put the surge pricing back in a prominent place on the app like it used to be. Aussies (especially) don’t like being tricked or cheated and we’ll change to other transport options if you keep doing it the way you are.",4
