review,rating
"Absurdo, eu estava esperando e o motorista cancelou a corrida e EU tive que pagar PQ ELE Cancelou. 🤬 R$ 6,00 de multa, se o caso fosse de EU CANCELAR .. mas nao! Quem cancelou foi o motorista! E eu tive que pagar!! Absurdo!",5
"Poderia ter a opção de alterar a foto do perfil, não sei como fazer isso! E deixa a desejar no quesito agilidade, às vezes temos pressa e um motorista aceita a corrida mesmo estando em outra corrida e estando a km's de distância",2
"Não consigo cadastrar os cartões de débito e outros de crédito também. Manda eu procurar o banco... que banco, se o erro é deles?!?!?!?",1
"Motorista fica te fazendo esperar um tempão pra depois mandar mensagem falando que não vai dar pra ir, pra vc cancelar, dai vc cancela e tem que pagar uma taxa de R$6! Isso quando não ficam te perguntando seu destino pra saber se o valor compen$a! Falta de profissionalismo!",1
"Prezados, hoje fui surpreendido com a interrupção do app. O motivo foi a versão do meu IOS que é antiga. Meu iPhone 6 Plus não atualiza para o IOS que a Uber exige. Se eu quiser usar novamente os serviços da uber terei que trocar de celular... 
Lamentável essa mudança, principalmente, pois a uber sequer avisou ... Estou no meio da chuva sem conseguir um carro para ir para casa.",5
"Olha Uber de uns tempo para cá, vem perdendo muito qualidade no serviço, fora a demora para encontrar veículo é muito cancelamento!
Não sei o motivo, mas provavelmente seja pela corrida estarem com preço muito abaixo Talvez seja melhor reajustar a tarifa e voltar a ter qualidade de antes!",1
Oi boa noite detestei o aplicativo o serviço para meu uso não funciona ainda cancelei uma corrida que demorou muito estão cobrando a corrida como uma taxa isso é ridículo como pode não foi prestado serviço vou pagar por que.,1
"Nos últimos 4 meses notei que o tempo de espera por um motorista aumentou consideravelmente. Então questionei alguns motoristas… qual o motivo de tanta demora?
- A resposta foi unânime… a empresa (UBER) não se sensibilizou com o aumento da inflação e do combustível e continua cobrando dos motorista o que o aplicativo não paga, corridas com duração de 30 minutos por 11,00 reais e outros valores absurdos que foram relatados. O grande problema disso é que todo mundo sai perdendo, o motorista que sofre com o aumento do seu custo operacional (sem falar da insegurança na direção), os passageiros sofrem com o tempo de espera, ou seja, se for caso de vida ou morte, pode ter certeza que o resultado será a morte! E a empresa (UBER) também sofre, pois se o motorista não fizer a corrida, a mesma não receberá sua porcentagem pela intermediação da prestação de serviço. 
UBER, vocês precisam melhorar seus indicadores para perceberem que vocês também estão perdendo e o pior, existe toda uma cadeia de usuários necessitando que o serviço de vocês funcione com mais efetividade, zelem por quem vos trás renda (motoristas) sem esses profissionais não haverá lucro pra vocês, nós usuários optaremos por outras plataformas do mercado (que não são poucas). Essa mesma mensagem estarei postando em minhas redes sociais, para que todos tenham ciência do que vocês estão fazendo, inclusive publicarei um artigo sobre este tema: “PRESTAÇÃO DE SERVIÇO X CUSTO X DEMANDA X CONCORRÊNCIA”. 
Espero profundamente que absorvam construtivamente.",1
"Fiz uma viagem em que a opção era cartão de débito. A viagem foi feita e o pagamento realizado, porém o app não permite que eu faça outra viagem dizendo que possuo uma pendência de pagamento, sendo que já está tudo pago com todos devidos recibos. Já tendei de tudo para que seja regularizado, mas nada adianta e eu continuo sendo prejudicada.",1
"Fiz uma viagem com esse aplicativo durante algumas semanas, simplesmente fiz uma viagem mas a forma de pagamento era outra, fui alterar ou o motorista cancelou ou o próprio aplicativo. Fui cobrado uma taxa no valor de 6,00 não irei pagar pois e injusto. Também vou recorrer aos meus direitos pois isso não aconteceu só comigo. 
Tentei me comunicar com os desenvolvedores do aplicativo, mas não tive resposta, pois as alternativas era colocadas como eles quiz. 
Aguardo retorno ou resposta quanto a isso.",1
"Tem aproximadamente um mês que o app está muito ruim. As estimativas de tempo não correspondem à realidade, e o tempo de espera só vai aumentando. Nada contra esperar, mas quero algo realista. Sem falar no mapa que não atualiza e rotas muito ruins.",1
"Falta de consideração com pessoas que não tem iOS posterior ao 14.8, vocês deveriam dar acessibilidade a todos os usuários. Independente do sistema operacional!!!",1
"Tudo pra eles são área de risco, não podem ver morro que já ficam com medo... tentei pegar dois, o primeiro cancelou e ainda deixou uma dívida de 7 reais pra mim pagar, o segundo então nem se fala !! Rever isso aí",1
"Os motoristas andam cancelando muitas viagens, hoje mesmo dois motoristas cancelaram viagem. Se nós cancelamos a viagem pagamos, mas se os motoristas cancelam não acontece nada e ficamos à mercê da boa vontade de um motorista aceitar a corrida.",5
"to cansada desse aplicativo! era bom, até existirem outros apps de transporte. agora TODA VEZ que tento pedir um uber, o motorista cancela e eu sou cobrada, ou o motorista simplesmente não vem, e se eu cancelar tenho que pagar também, ou o motorista demora horrores, sai da rota (sem estar fazendo outra corrida oficialmente pelo app) e não cancela! um ABSURDO! toda vez que abro esse app e tento usar, me vem uma cobrança indevida. CANSEI!!!!!",1
Caiu muito de produção!,1
"Eu estou tentando a horas colocar o CPF, meu, minha esposa, meu irmão, meus primos, nenhum da certo, sempre que tento colocar não vai de jeito nenhum, e o método de pagamento por cartão... nem me arrisco, já que pra colocar o CPF já tá assim, espero que consigam consertar, perdi uma reunião deveras importante por esse motivo, pelo menos é uma vez em 20, mas tudo bem, só consertem logo.",1
Tenho notado um crescente sucateamento da frota. Cada vez mais carros velhos têm entrado em circulação pelo UBer.,2
Não está aparecendo o valor da viagem quando ponho o endereço.Fica difícil pois quero saber o valor solicitado antes de confirmar a viagem....,2
Paga muito mal os motoristas. Acho que não temos que reclamar pelas corridas sendo que pagam tão pouco para eles,1
Fui atualizar o app da Uber no meu iPhone 6 e ele ficou inoperante. O que eu faço?,5
"Utilizo muito o Uber, porém recentemente alguns motoristas estão cancelando minhas corridas devido minha nota ser 5.0, alegando eu ser novato no app, podendo ser alguma pessoa que possa agir de má fé. Seria muito legal é muito mais seguro para os motoristas se no perfil tivesse uma data de quando começou a usar o app ou número de vezes já utilizou o app ou até mesmo algo que indentifique o perfil, como exemplo, novato, intermediário, vip, etc....
Dessa forma, minha corridas não seriam mais canceladas, e minha espera por um carro seria muito mais rápida.
Muito obrigado.",4
"Não consigo cadastrar meu cpf no app, por repetidas vezes diz que é um cpf invalido! Gostaria de uma ajuda para esse problema! O app é muito bom, porém não adianta ser bom se usuários não conseguem usar!",1
"Pq eu apago e instalo de novo todos os dias e nunca aparece pra mim a opção de pagar em dinheiro nesse aplicativo??? Deem suporte , pelo amor de Deus. Eu necessito",1
"Infelizmente o aplicativo somente requer uma versão IOS já bem atualizada, deixando alguns usuários na mão. Enquanto que outros aplicativos funcionam normalmente com versões abaixo de 15.0.",1
"Não consigo me cadastrar no Uber, quando está na tela para aceitar os termos, clico em próximo, porém volta para a tela anterior de nome... faz dias e ainda não foi resolvido",5
Realizei uma corrida e efetuei o pagamento no dinheiro (ainda paguei a mais pra ele) para o motorista. Quando fui utilizar o App novamente estava constando que não fiz o pagamento. Por falta de suporte da uber e por necessidade tive que pagar o valor novamente para utilizar o App. Paguei 2x o mesmo valor e quero o meu dinheiro de volta.,1
"Motorista cancelou, sendo que eu estava do lado dele, não foi estornado o valor e ainda cobraram 5,00 de taxa de cancelamento que foi cancelado pelo motorista que agiu de má fé, dentre outros, como entregadores(motoristas) que no modo flash agem de má fé.",1
"O GPS, principalmente referente à localização do motorista antes de o mesmo chegar até você, não funciona corretamente desde a última atualização. O aplicativo simplesmente não consegue mais fazê-lo com maestria como antes. Deve ser revisto!",3
"Eu não consigo pagar com dinheiro, e eu não tenho cartão, ridiculo tirar a opção de colocar dinheiro! Arrumem isso",1
App maravilhoso quebra mais galho q qlqr outro feraaa,5
Cancelaram minha conta de passageiro sem que houvesse motivo algum. Simplesmente modifiquei a forma de pagamento (cartão de débito) e o app me bloqueou. Bola fora. Vou pro concorrente.,5
Sugiro que haja punição para motorista que cancela viagem sem justificativa plausível / razoável motivo.,5
"Estou sem acesso ao uber porque o aplicativo diz que não tenho mais como atualizar sendo que o meu iPhone 6 não tem mais novas atualizações, é uma pena pois sou assídua na utilização do uber.",5
Desde que atualizaram não consigo mais usar. Fica mandando eu atualizar direto! Acabei desinstalando o App,1
"A nova atualização não é mais compatível com iPhone 7. Ou seja, pobre que se lasque kkk",1
Vcs poderiam habilitar versão anterior para iOS não to mais conseguindo abrir o app do uber,1
Fui usar o app e aí abrir pediu que eu atualizasse. Porém meu celular não tem a versão que ele exige. Estou sem poder utilizar o serviço do app,1
Um absurdo não permitir a última versão para os IOS abaixo de 14!!!!,1
"Vocês deveriam disponibilizar a versão do app compatível com o iOS 12, pra quem tem iPhone 6. Não consigo mais usar o app.",1
Não consigo mais usar o app no iPhone 6,5
"Vocês fazem um atualização do aplicativo que não é compatível com todos o ios, aí agora a pessoa tem que compra o celular só pra ter acesso ao aplicativo?",1
"Boa noite, infelizmente não consigo mais usar o app da Uber depois desta atualização. Impedindo sua utilização por conta de pedir um IOS superior que meu celular tem. 
Aparentemente nunca mais vou conseguir fazer viagens pela Uber.",1
"Só pq não tenho como atualizar meu telefone não posso mais usar o uber, que palhaçada, façam uma versão para todos",1
"Muita gente tem esse celular ainda vocês deveriam se esforçar para deixar funcionando para nós, agora vocês perdeu vou para 99 que funciona no meu celular",1
Porque não funciona mais no IPhone 6???,1
Uma palhaçada exigir versões que meu celular ainda não tem! Então eu com meu humilde iphone6 não posso mais utilizar o app👏🏻👏🏻parabéns uber pensaram muito no cliente ne 😡,1
Não consigo utilizar mais o app Da Uber pq meu celular é antigo Iphone 5.,5
"Não posso mais usar o uber porque com a atualização eu precisaria comprar outro celular. Em vez de facilitar, o uber complicou",1
