review,rating
"I like the UI of UBER app more than any other  apps of this category. I often wonder, why there are only 2 payment methods to opt in the app - Paytm and Card, in the IOS version and there is no focus on the payment methods inspite of the regular updates released. I wish new payment methods like addition of UPIs would help users in a great way and you will include it in your future updates.
Paytm payment method has a bug, especially when adding money to paytm and paying. Though the addition of money gets successful, an error is shown in the UBER app, amd once we click on the cross mark and try to pay with paytm again, the added money will be deducted and the payment gets done. Hope this will also be addressed in the future updates as it’s annoying.
Notifications are received to complete the payment in the app after completion of the ride, if the payment method opted for the app is card. But when you click on it, you will land in the UBER app and the booking screen appears. Boom!! There is no way in the payment section also to complete payment for the previous trip. Only way you can complete the payment is to try bookinv another ride and it prompts you about the outstanding amount. If this could be fixed, the time taken to book a cab will be reduced as currently one has to complete the payment and then book the cab in case of outstanding amount. 

Thanks!!",5
"I have seen above that many person have claimed that they have been charged extra, yes that is correct and same issue with me also, some days back i was in bhubaneswar and for continuously three days i have used uber services and that was good but on the fourth day i had a flight by 6.00 am and already checked out from the hotel hoping that uber was there no tension but as i checked out from the hotel and booked a uber but after some time the driver route was not responding in the app and as well as nor driver was attending my call i stood there alone by the road side for 15-20 minutes after that lossing all hope about uber i quickly downloaded the ola app and trust me within 4-5 minutes i was in the car and while i about to reach airport i got a message that i have to pay Rs. 72 for cancellation charge  and after some time i got a call from the hotel asking me that my uber reached the hotel and was asking for me so what type of service is that..You guyz should reshuffle your services because this is not the right way to treat customers as well as why should i pay for nothing. it was not my mistake he was not attending my call and why should i wait for so long while other services were available. Therefore if this will not be solved then definitely not only me your other customers will also change there riding app.",5
"This is not the first time that I’ve faced this issue that I faced today .. I don’t know why and where you guys picked up these kind of people for putting your clients life in dangerous situations .. 

“I booked the bike driver for safely reach on the destination on timing but today again in the early morning I got such an amazing driver who just was not in the properly waked up even he gave me helmet like a cap which was broken + that cap has dropped off in between of the road and the driver rudely asked me to picked that up which was too far away and I asked him to pick that so that I could reach on time but he declined and started abusing me like you don’t know how to book Uber .. I’m cancelling the trip even I asked him to talk his senior but he just left me in between of that running road and just ran out.. “ 
Is this really I deserve or any client deserves ? Even after paying off ?is Uber couldn’t afford professional service? That guy literally dirty not groomed not wearing clean shirt even he was smelling bad odour .. the bike was not in good condition ..helmet was broken where is the safety in the Uber ??.. I was literally shocked today I couldn’t even imagined that situation happened with me can happen again with anyone else too if this is the service..",5
"Uber as an online platform is great. Having said that, there is considerable scope in improving the in-field experience of the passenger. The foremost and vital part is cab drivers accepting the ride request and not turning up. They cancel the ride or delay it so much that forces the passenger to cancel and rebook another ride. This makes the passenger liable for cancellation charges. A very unfair situation, not to mention the missed flight/train/appointment and the attendant stress that the passenger goes through. I have faced this problem in Pune majorly and Delhi NCR on a number of occassions. Next issue is the cleanliness of the cabs. Some cabs are spotlessly clean and well maintained but then there are a few cabs which should really not be on the road. Lastly and rarely is the issue of cab driver behaviour. Sleepy cab drivers, though rare, is a serious issue that needs to be addressed scientifically.  The Uber needs to work with other aggregators like Ola to ensure that cab drivers do not work beyond reasonable hours to make more money. I have had three situations where the cab driver was exhausted due to long hours and very sleepy. In one case I had to take over driving duty to prevent serious accident. In another case the driver was sleepy and the cab met with an accident. The passenger may himself be sleepy and not in a position to intervene suitably. The onus is on Uber to work towards providing a safe ride. Thanks for asking for the feedback.",4
"Not good app for cabs. The drivers call and ask the destination and cancel the cab this happened so many times. “I came to Chennai for a work the cab drivers and auto drivers ask more money than it showed if we ask why they say petrol chargers increased and came from far distance to pick up. Yesterday one cab driver in Chennai demanded extra money after starting the ride but I have refused to give that amount so he asked me to cancel the ride, give the money because he came to pick me up I said if you drop me then only I gonna give you money. Then he stopped the ac and opened the windows. As it was so hot here I asked him to switch on the ac then he started lieing me that ac was not working. Then at last he switched on the ac and asked to the same amount I said I will give you but not that much. Then he stopped the car and demanded to give that money before completing the ride, I have refused to give him the money. Then he asked me to get down the car and he have canceled the ride.” And returning from back to my place yesterday in Chennai I have booked a auto as cabs were not available there, the auto driver came to other side of that place and keep on calling me asking me to where are you how much time? I took 5 mints to come out mean while he canceled the auto… if there are any waiting charges shown at the end will pay but that driver couldn’t wait for 5 mints and canceled the ride…",3
This is a review specific to Uber india. Yesterday October 30th was the final nail in the coffin for my Uber experience as it has just deteriorated from a convenience to struggle. We were looking for an Uber to drive us to a location which was only about an half hour away. The first driver had to drop his previous customer and took 25 minutes over the scheduled time and only told me about this after I tried to call him. After asking him to cancel since we were in a hurry so we could get another booking he was rude. This was not the end of the story.. we were then redirected to another driver who was 2 minutes away which we thought was a relief. But that person decided that the best time to go and refill his Cars fuel was to do it after he has accepted a fare. On trying to contact him he mentioned that he will take 20 minutes more to fill up. Which added to the frustration that why would these drivers accept and have no consideration for the customers time. Upon asking him as told why he accepted when he knew he had told fill up he began cursing … 2 drivers on the same night … UBER india are you guys so desperate that you will hire these goons to represent you ? Safe to say we will never use Uber again after these incidents,5
"I usually take a cab from my home to office in morning where there is usually congestion from highway. I don’t prefer other routes considering safety. I had been coming for last one month and no driver on Uber complained so far. 

Today, the Uber driver said that because of congestion totalling a delay of 7 min he won’t take the highway route and literally was in mood to drop me midway as he was in a hurry and I objected that I have to go from highway only. To my shock his AC was not working - got to work in the last 5 min of overall 30 min trip and he shouted on me when I said I won’t want to go from other route. He finally took highway and I didn’t complain Uber during the trip and later gave one star rating to the driver. The driver also gave me 1 star rating. There is no way I can contact Uber after the trip is completed and because of AC being deliberately shut down I am so much drenched in sweat in office plus my mood got so off plus I can’t complain Uber plus there is no distinction in giving driver one star rating as he too gave me one star rating. What the heck is this ? I won’t book an Uber cab from now on but is this the way to treat customers !!",5
"The fare is increased by the the end of the trip most of the time and upon asking about the sudden price change, the drivers become rude and ask to deal with it and contact with support. As this is none of their concern. I was threatened by one of the uber drivers for refusing to accept the fare hike. 
Support team just uses template messages and only looks at closing the email thread. All they have to say every time is “we know this is bad, this will not happen again, please “understand” this time and forget your money”. The fact that the same complaints are repeating and still they have the nerve to say this will not happen again is amazing. They want customer to lose the money, time, and instead of the support team actually understanding the issue, they expect the customer to “understand” their incompetency.
We avail your services and give you business because we appreciate your service. In return, your driver partners give us hostile treatment, hurl insults and threaten us. 
It has come to a point where I have to think twice before booking a cab from Uber and if I did, I have to pray for my safety and hope that the driver is not going to be a bad person.
If it is going to be this way, then I will stop using the service hence forward because the company is too big shot to care about the service. If money is your only focus then please earn it the right way. Don’t make a hole in customer’s pocket and take theirs.",1
I use use uber very often but when ever there is any problem like the trip has been cancelled by the driver or I have to cancel the trip they don't even ask or without knowing the reason behind that put a cancelation charge!! Few times I had given the charge but now I m frustrated.. yesterday I had booked a cab from specific location after turning on my GPS n uber took my location automatically.. but when I called the driver he was saying u are not given the proper location he didn't come n after few minutes he cancelled the ride n didn't even call me before doing that n a cancelation fee has been charged now today few minutes ago the same case happened n they are charging one more time so it's 47+47=96 ₹ not a matter of joke?? There is no help line number or anything.. at night I'm standing here all alone n after 30 minutes of waiting driver canceled the booking n I'm will be charged 96₹ is it fare??? I have decided that we all should stand up against this things.. this is robbery!! If I will have to pay the amount I will deactivate uber instantly n so does my few frnd my n family members will do!!,5
"Shuttle Service - On the recommendation of few friends, I purchased Shuttle package and started using Shuttle services. I was told that I will be getting 25% off on purchasing 25 trips package. I observed that the package was getting over in no time. When I reconciled with the number of trips I had actually availed and the number of trips which got deducted, I found a discrepancy there. Excess trips were being deducted when these weren’t availed. I wrote a mail and explained the situation. Every time I received the same standardised reply that they understand the situation but couldn’t do anything about it. They do not understand the customer’s concern and reply as if they are machines. There is no call centre where you can ask for immediate support as well. Eventually the 25%  discount which they claimed to provide is all faux since I ended up paying for a 25 trip package when I had actually availed only 12 trips. 

Cab service - After booking a cab, the cab driver will call you up after 5 to 7 minutes and ask what is the destination. Once I inform it, he will ask to cancel the cab since he has to go to his home. If at the first place he wasn’t interested, why did he accept and wait for 5 minutes? He shouldn’t have accepted the ride. We all are left at the mercy of these cab drivers and Uber isn’t concerned with this as no action gets taken.  They hardly take any feedback from the customer. For them, money is more important than customers.",1
