review,rating
"We have been using app for a long time and more and more often one problem appears. Becoming almost “normal”that request is accepted, estimating waiting time is 4 minutes and suddenly after few minutes of waiting it become even more (eg. 5) then you waiting a few more, and more… to see that:
 1. driver has CANCELED on your trip. This should not be allowed. How they can cancel on client? This is already well known issue and people start to believe they cannot rely on UBER. Can you please do something about it. 
2. It’s also very unethical practice that after cancelling when you search again trip is becoming more and more expensive! (I assume system is estimating based on demand and you are creating demand on your own searching many times. This isn’t right. Will give your competitors full rights to win the battle. 
3. Destination is not the same as stop. Destination by default is where you will end your journey, stop (that is drop off) is tweet you supposed to stop on your way to your destination! App is not working like that(I was recently told when driver went around, didn’t drop the passenger on his way. Fix your all. It should work out what is the best way to go (and where to stop) to not pay double. It’s using gps, is not hard. Also those names are misleading if destination is understand by you (app!) as a first stop.  This not what “destination” is.",5
"It all started on a chilly Autumn evening, my friend and I had been waiting for various other taxis that we had booked with local taxi firms, but to no avail. The rest of the group had left for the club, leaving Dan and myself to fend for ourselves. As the night grew longer, and our beer jackets began to loosen, we needed a hero. Dan took the initiative and got on to the App Store. Who could we trust with the simple job of getting us from A to B? Uber, and more specifically (spoiler alert), Muhammad. Within three and a half minutes, Dan got a call, and Muhammad had arrived. We placed down our half full (half empty?) beers and entered the vehicle. Muhammad stopped us right there and insisted we grabbed the beers and took them with us, he wanted us to have a good night, almost as much as we did. A journey full of anecdotes and laughs lasted for approximately ten to twelve minutes, and I was honestly sad to see the lights of the club in the horizon. Muhammad was a joy to be around, a free spirit, and without him, Dan and I would have been stranded on the streets of Leeds, for what could have been the rest of our lives. Uber isn't just a taxi service and this isn't just an app. Muhammad was a soldier of the night, and Uber was his General. I will never forget the 26th September 2015, thank you Uber, take care x",5
"Mohammed picked me up at around 4 this morning from A&E’s entrance where I’d spent a gruelling 12 hours being grilled by dr’s, assessment nurses, psychiatrists and procured my prescription of choice. Filled with Nottingham’s sick, ill and dying, full of fear, waiting patiently and finally walking  out to a foul January morning wondering still if they’d got it right, it needed a certain calibre of man who knew when it was right to speak and more importantly, when. I was in no mood for idle chit chat. From the off, the Uber app just works. I love it. The AandE receptionist’s kindly showed me the brilliant impacting immediate messaging service pin pointing the EXACT location and EXACT time of arrival. From the off, it was only 2 mins, a choice of vehicles - and amazingly cheap considering I live 5 miles away, it’s the only thing around in the middle of the night - I easily could expect a way higher fee - helps to random my exhaustion, fear, and simply just needing to be home for under a tenner is simply fantastic. I’m aware of Uber’s competition and in the past, I’ve actually had accounts with them - but something changed and I no longer used DG, only something I’ve always worked for many years, which is Uber. If I could give Uber 100 seats, I would. Fantastic company.",5
"Felt really sick after work on Thursday at around 4pm so I ordered an uber to take me home instead of getting the train, I was given a price of £16 and a waiting time of 7 minutes so I ordered the uber. AFTER I had paid, the waiting time then changed to ‘longer wait’ but I wasn’t to bothered about waiting another 5 minutes, it then changed again to ‘trying to find you a driver.’ After around 10 minutes of waiting uber completely cancelled my order without giving me any notification, I only realised because I went on to the app to see if there was any updates on where my uber was. I was mad they had cancelled my first uber but I still needed to get home and the train I could’ve gotten on had passed by now while I was waiting for my uber, so I went on to order another uber only to see they had DOUBLED the price for the same journey. The price was originally £16 and they had put it up to £32, for the exact same journey and the apparent reasoning for this was because the area was busy. Now I understand an extra £5 if it’s busy, but to CANCEL my original order for no reason and then DOUBLE the price is absolutely ridiculous and money grabbing. I then had to wait for my money to be refunded from the first order and ended up having to wait 30 minutes for the train because I refuse to pay £32 for a £16 journey. I do not recommend uber and won’t be using it again, just book a taxi. Uber is not reliable and clearly changes their prices whenever they feel like it.",1
"So we’ve been using Uber a couple of times a day whilst on holiday in the US. Literally every single time the estimated car arrival time is out by a great deal. Just now when confirming a trip, we did so based on the 4 minute away estimation of the nearest car. We waited outside our hotel for more like 14 minutes before the car actually got there. First the time went up to 5 minutes then to 7 minutes, then it just stayed 6 minutes for a few minutes and slowly started going back down again (not in a real-time minute counter but Uber’s much slower minute counter). There wasn’t really much traffic on the street so I don’t understand how can the estimation be out by this much. I would much prefer to know the actual estimated arrival time as opposed to standing by the road like an idiot. I definitely would have dried my hair this morning if I knew about the extra 10 minutes wait time, instead I was standing on the windy roadside for quarter of an hour with my wet hair. And this was pretty much the same with each ride ordered I’ve the past 10 days. Anywhere between double to triple the amount of estimated car arrival time we had to wait, not cool. Please make your app more accurate. For now I’m going to switch to Lyft for the last 4 days if our trip and see if they do a better estimation job. It’s just a shame as otherwise Uber would be a service I’d use and recommend more...",3
"I don’t think I’ve ever had such a disappointing experience with taxi‘s as I had with Uber, quite astonishing how many times people (me included) make a report because someone cancelled the trip and I still had to pay, or the times when a driver would make inappropriate comments making me feel unsafe and guess what! If you cancel, they will get their money and their behaviour is excused. In general I have also met some with an audacity to be rude to someone that is just minding their own business and not making any issues, just tired on the way back home from a long shift, feels like they take advantage on those occasions and know they will get away with it with money still in their pocket. I even had someone get in my Uber and drive off on it when I finished work late night, only to arrive and realise my ride was already near my home. 

Recently found out that there is Uber Pets and they charge double the price! Not only, someone I know was on the phone to me recently whilst waiting for one and the trip got cancelled twice (they would arrive close to the destination and simply not take the trip), making them extremely late to a vet appointment, making them reschedule the appointment and they were still charged for the cancelled trips. Waste of time is my point. Support your local taxi businesses people, they aren’t money hungry corporate companies that are more than willing to accommodate in various situations.",1
"Uber has a terrible cancel culture. How and why is it a norm that a professional service can accept a transaction and then just cancel when they want? It’s outrageous and I don’t think the public have to put up with it anymore. If a person is waiting and trusting that a service will deliver at 1am after waiting for 10-15 minutes for it to be accepted, the last thing they should expect is to then be cancelled on. If an Uber driver has accepted a trip, which includes accepting the price and the director, they SHOULD NOT be allowed to cancel. If they do, they get fined £5 and it goes to the person they cancelled on. It’s unacceptable. Uber drivers just cancel over and over and over again. I’m tired of it, and I’m not accepting it anymore. Imagine sitting on a plane to fly somewhere and the pilot says “No, don’t fancy it”. So, after many years with Uber, today I am deleting my account. Prices are so high anyways, it cost me the same amount to get home last Saturday (£50 for a 22 mins journey) as it would have if I got a black cab in London. So my business is going back to those boys.",5
"THIS HAPPENS TOO MANY TIMES! The last time I left Uber, it was for a whole year if not more. It’s not fair that when a driver can’t find you, or when a driver is late and you can’t wait anymore because you are standing in the rain and have to go, or Uber suddenly finds a driver 15-20mins later when you are already at your destination ( I could go on), that you cannot cancel a trip without being charged! Last time, my driver got lost and I was on the phone to him giving him directions, standing in heavy rain after I had to walk back to the pick up point, he got so rude and cancelled the trip and I’m the one that got charged! Today, Uber suddenly found a cab after I had already walked half way home in the rain! The. The driver couldn’t find me. When I was finally on this trip and got home, I was charged almost £10 for a less than 5minute drive without traffic! How is this fair? Besides being able to see, i know this because driving hone from work use to take me 5mins! 
There has to be a way that everyone is held accountable for their own end of the problem. Do drivers get charged when they cancel? Because they do, a lot. I am so disappointed and so angry that I am very much considering going back to normal cabs. I have no patience for unfair systems and I believe I have been overcharged or charged for a service not used too many times!",3
"I agree with the review I just read - pick up times are a major problem. They are inaccurate. Also, sometimes I want the fastest pick up time possible and when I type in my ride details, some driver 15m away accepts the job and I have to cancel and restart so I can hopefully find someone quicker and the same driver keeps rebooking the job which is completely annoying. There needs to be some mechanism where you can say why you’re cancelling the job - ie. wait time too long - to invite the possibility of anyone else accepting the job or being open to a new, quicker pick up time when another driver is finishing a trip locally or just starting their shift, to be able to pick up the job. Some way of indicating that you’re in a rush would be good !!! Tonight I was in a rush and had to wait 25 minutes for an Uber, from a central London location, where I am sure more Ubers were driving past, but once someone accepts my ride I am locked in. And they were finishing a trip and dropping someone off still. I don’t want to have to wait for that driver, I definitely want to be open to a quicker pick up. 
And the time was given as, for example, 5 minutes , and the 5 doesn’t go down for 15 minutes and then the 4 lasts for 3 minutes etc. Can you review this aspect ? Thanks. Otherwise great.",3
"I'm currently in Vietnam for a few months and was advised to get uber or grab taxi for local transport, I thought uber being the most familiar that I would use it. In practice the app for me is terrible, it asks repeatedly for me to verify my phone number and once the app is open the page to verify my phone number never appears, plus it rejects my card method of payment. Customer services say this is my bank not authorising international transactions but grab taxi works just fine, and also has the option to pay a certain amount of money in exchange for credits so your rides are already paid for in one go until you top your credits up again. So it's not my bank that's the problem, it's uber. Everyone around me, at least, finds uber frustrating and expensive compared to fares on grab taxi which I only learned existed a few days ago, but is far better than uber and does exactly the same thing just in a more efficient and user friendly manner. My first ride with uber worked fine as I paid cash, but now it wants me to verify cards that I don't even want to pay with for security reasons and won't even accept the card details and simply says ""invalid"" (nothing more because that would be too useful...)  even if I wanted to use uber I can't, so if anyone has any issues I recommend grab, it's exactly the same service and works more smoothly (for me at least)",2
