review,rating
"I must say that I am astounded by the poor service and how useless Uber’s support staff is. It has taken them 3 years and counting for them to resolve a simple request whereby I have consistently been asking them to disable the two step verification on my account. It is to start with stupid to only send codes via a cellphone when one requires both a verified email and cellphone to sign up. I have sent Uber‘s Helpdesk numerous emails over the past 3 years. More recently, which is from this past weekend, I decided to communicate with them via both Twitter and Facebook, all of which incidentally use my common email address. Sadly none of these attempts have yielded any positive results and instead their responses were to repeatedly ask me stuff that I had already provided them. I am very frustrated because instead of resolving my request, I have repeatedly been asked the same set of questions and much to my dismay, even though I answered them but they would just abandon my support tickets. Kindly brace yourself for an annoying experience when you deal with Uber because it is not fun the same question and people act dixlixic by asking you again and again the same thing. I answered their questions in all instances  but still I am locked out of my account. The last ride was unbelievably requested successfully on 08 May 2016.",5
"Last night i had an Uber reserved for 11:15pm, it had been reserved earlier in the day. when it came time for my trip the original driver cancelled and was replaced by another which was fine until i realised the replacement driver was stationed and staying in one spot, 7 minutes away from my pickup location and not moving. upon trying to call him he declined my calls numerous times and did not answer the messages when i messaged on the app. i used a bolt to get home and when i eventually got him the uber driver was still in the same place waiting for me to cancel so that he could get the cancellation fee without having to move. i was eventually charged the
cancellation fee without even cancelling and the driver having not even come to the venue, AN HOUR AND A HALF AFTER THE PICKUP TIME. i have full proof of the driver not being there an hour and a half after the pickup time and his ignorance of my messages. i expect the charged fee of the cancellation fee to be given back to me as it is practically theft.",5
"The standard has seriously dropped. Uber drivers are now behaving like Bolt drivers, there’s a lack of respect. They play their music loud, when you suggest a preferred route they actually argue with you and try to convince you that their route is better especially if you don’t prefer using the freeway where there’s a risk of being stuck in bumper to bumper traffic if there’s an accident or something. Then some of the cars are so dirty and smelly it’s as if they sleep in their cars.
They drive recklessly and speed.
The drivers accept a ride you wait for a while only for them to cancel, some will accept a ride then not move when you call to find out why they aren’t moving they tell you they can no longer come and you should cancel on your side, they actually don’t consider that you could be in a dangerous area and shouldn’t even have your phone exposed to potential criminals.
Uber drivers should also remember which country they work in, as a female living in SA I don’t feel safe someone asking me personal questions like where do you live? Who do you live with? Where are you going? I understand some drivers aren’t criminals and are genuinely just trying to make conversation but with the GBV in the country I don’t feel comfortable answering such questions. There’s should be boundaries.
Thank you to those who have made an effort in being friendly, considerate and professional and keeping their cars clean.",3
"So i come from the Casino, and the driver tells me that the ticket might be a problem, and I tell him not too worry, because whenever i leave the Premises at the Casino, I do not have to pay for Parking, and yet this crooks, keeps charging me R10 after R10 after R10, and after having discussed this with almost 10 different drivers, i can with certainty say that Uber does not pay the tolls over to the drivers, otherwise it could have been considered a tip, and its not even about the money, its the concept, of putting your life in the hand of a bunch of crooks and criminals that is either too clueless or too unconcerned to be bothered about the fact that they actually have the Audacity to steal from you, as that is precisely what it is, before some automated thing tells you no there was tolls, but you know for a fact there was none, as you used your Platinum MVG card to exit the Premises at a Sun International Casino. These people (not the drivers), the criminals hiding behind the automated rubhish responses, should steal less and use their common sense more, or establish with drivers whether or not they had to pay toll fees, but no, why would they add that as a option in the app, they are too criminally inclined and too greedy to think of basic logical reason. And if they driver the day has to pay toll fee's, stop robbing the drivers, without them you are nothing.",1
"The last 3 trips to Cape Town Airport, my driver didn’t end the trip once we reached the end destination, they usually only end it 10-15 minutes after I have already left. I have been over charged every single time. This is such a hassle as the app doesn’t allow for a proper complaint and there is no other way to address this problem. Can’t you add into the app, that the rider can end the trip if they see that it hasn’t yet been done. As this will resolve a lot of issues that are currently being faced.

If possible please let uber drivers send a message when they are being delayed on their way to pick up a rider, as I was waiting for more than 10 minutes looking at the time the driver will take to come and pick me up, with no change in time. I phoned the driver twice on his number and once as an uber call and there was no answer. I then canceled that trip and requested a new one. I was again waiting for more than 10 minutes looking at the time the driver will take to come and pick me up, with no change in time again.  I had to phone the driver twice when he only said that he was on his way.

I have never had an issue with Uber before 2 months ago. If this will be continuing to happen, I will stop using this app and I’ll inform all my friends and family to do the same. Please fix these issues as I believe a lot of customers feel the same way.",1
"On the arrival level at ORT Johannesburg international ground level are pillars on the road. These are numbered in big capital letters. The pillar right opposite the parking where the Uber pick up actually is, is called pillar No2 and on the tar mark it says E. 
The message from the driver - and the app - states go to pillar 2 E. The driver days go to pillar 2 E.  So I thought I was at the right location. But I was not. 
That is not what they want to say. The correct wording is go to level 2 inside the parking area that is the area after you crossed the road and then go up with the escalator to level 2 and first left to area E. That is the area where the Uber will pick you up. 
I can understand that the driver has most likely never arrived by plane and therefore does not know that there are numbered pillars on the arrival road. 
Further in that area level 2 area E where the Uber arrives are people that want to sell you a ride. - be aware that these are not Uber drivers.",5
"Yesterday I sent a rather urgent parcel with an Uber package car, the driver who was very rude firstly lied and said security doesn’t accept deliveries on behalf of tenants which isn’t true, then he said he’s leaving my parcel at their Uber offices in Malboro, AND HE DIDNT! Then he further went on to lie and say he left me missed calls which I ignored I have records of 1 missed call he left me at 16:04 and I called him at 16:05, so he traveled from Midrand to malboro in less than a minute?? I won’t even mention how he started cursing and insulting me, and I’m a woman, I’m sure he would have hit me if I was infront of him.

The worst part of it is that I’ve beeen reporting this on the Uber not a single response from them, I don’t know where this criminal is with my parcel that was meant to leave Jhb tonight for a business commitment. The fact that Uber didn’t get back to me about this and there’s no sense of urgency about a matter so serious really convinces me that they actually condone these criminal activities and ways of their drivers. I am so hurt and so disappointed that was an important parcel. I will never use this app again and I don’t recommend it to anyone, because clearly on days like this Uber management sided with their criminals.",1
"For the first time using the uber ride, was excellent, driver extremely curtious and pleasant. Very good driver with safety in mind not just for me and the family, other road users aswell.
Now upon return could not access my acc, continually saying I should upgrade my tel nr. Upon doing this the final process then says my nr is old and needed upgrading. Landed @ airport 18:00 only got lift or picked up by family 21:00 so thank you for your call centre upon answering the call to put the phone down in my ear. Continually phoning afterwards the person then rejected my following calls. Now how would you expect a great review if only 1 time experience works out a nice one. Look at the future as I had in mind not only using this service as a one time affair. 
Most disgusted traveller with young toddler to get home and fed was a mission.",5
"We did about a dozen rides over a weekend. Without exception the vehicles were in a bad mechanical state. When Uber started, it was all like new corollas etc, no issues. Now it’s old rundown cars with broken suspensions and noisy brakes. 
The Uber app, in the feedback form, doesn’t even have a tick box for that. It has “car not clean” but that’s different (and that wasn’t the problem). Uber should exercise some oversight here. This was scary. 
Other problems were: Drivers accepting then cancelling trips. On occasion, Uber failing to get any driver. Driver not making any attempt to liaise with us regarding pickup, then claiming “no show” fees (ie, us paying twice for the same trip). 
One driver “missed” the turnoff (despite it being shown on the planned route app), then charging us for the detour to track back to the destination. When we tried to query the invoice, driver then claimed that we had requested this detour. Lengthy debates with Uber: I really dont need this. Uber has to keep their drivers honest.",3
"The reason this company will fail is that it treats the customer as if they are always in the wrong with no recourse for the customer. A recent example where a driver went to an incorrect pickup point, and then blamed us not wearing masks as the reason for no pickup. ( we were at the correct pick up point and wearing masks). Drivers are allowed to and encouraged to make up blatant lies a they know the customer never has any recourse. A truly disgusting system of the worst kind. It does however make me feel better to see Uber loosing market share to competitors for the very reason they treat customers a second hand citizens a part of their business model .",5
