review,rating
"What’s app from its invention in 2009 has become one of the most frequently used applications in smart phones. It provides the range for regular chatting, voice calling and live video calling domestically and around the world in every nation internationally.

The service has maximized communication between human souls in an efficient and elegant manner. People have saved on millions of dollars in landline and mobile phone bills through this system. The techniques are grasped well by people of all age groups. And the following of global celebrities and various industries and associations is made easier through various groups within what’s app. The revival of the golden era music alongside educational reminders happens in brilliant videos over what’s app.",5
"The privacy on WhatsApp is incredible, I know you probably don’t have time for young girls but basically my whole year level agrees to make it more like snap, not fully copy right but try and change the status so it isn’t so embarrassing when you add to it👍 Also if you do change it we have all agreed to spread the word, you know tell everyone to get it because it’s better than snap, hahahaha!!! Also you should add a camera simble next to all the chats so you can just click on that and send a specific photo to each chat, instead of changing it in settings every time😫 another good reason is because Snapchat is 17+ or something so basically no one is allowed it, if you include these simple things then it might just be the next big app, isn’t that what you want??? I know exactly what your thinking why would any idiot like me waste all of this time just for a comment? Well because it’s not just me talking about this, it’s the whole freakin school!! Even the teachers, I am only 16, I don’t expect you to just go and change it but at least try!! Why save the best till last, it’s worth a crack isn’t it?? And if it doesn’t work, just change it back no biggy, and I know I have no idea what I am taking about it’s probably a lot harder than I think it is but just have a go!! You only have one life so why not try and live it instead of trying to survive it???
Yours Sincerely,
The great idea!!",4
"Hi WhatsApp,
This app is really great, I use it everyday and is exactly what I need! It is a basic app for messaging, but with so many advanced features!
 However, I think a really good improvement for this app would be to have information on photos you send. So if you click on your photo either on a chat or status, you can find out who saved or took a screenshot of it. This would be very beneficial for many users, and enhance the app even more! One more thing that would be great to be able to do is delete photos, even if everyone has viewed it. Every person I’ve talked to wants this feature, and it would be helpful for personal, non business related chats. So once everyone has viewed it, you could still go back and delete it before more people save it. I would love to see these as an addition for WhatsApp, as it is such a great app! Thanks for your time!",4
"Im on holiday and reliant on whatsapp to communicate with agents, hotels, hosts, fellow travellers etc. this app has banned me 5 times in two weeks with no explanation as to why, ive sent less than a dozen messages to 4 users. Their customer support sends autogenerated responses that dont address my problem. Im unbanned and them banned again within a day or two, with no explanation or cause. This has been incredibly disruptive to my trip and its a real shame this app is so ubiquitous when its treating its customers so poorly.

Update: I’m now in my 8th ban for “spam”, im banned immediately each time i send my first message to any number. I am just trying to reach out to hotels, travel agents etc while travelling. Im doing nothing untoward or remotely spammy. Each time ive been unbanned 24hrs later and it is explained as an “accident”, then i am immediately rebanned. No human support to help me, just the same loop of dealing with robots. Im in a foreign country and unable to talk to many businesses and services who exclusively use this terrible app putting my safety at risk.",1
"If there was ever an equivalent of social services that took words away while they were being abused then WhatsApp would have the word ‘private’ in front of a child psychologist showing the nice lady where exactly on the toy smartphone it was that weird Uncle WhatsApp took photos of them without their knowledge and sold the offer to data to his all of sweaty golfing buddies. 

That’s before the child psychologist smashes the toy on the ground and forgets about the whole 'tortured simile' thing, and having a sticky beak by scrolling down there ⤹ ~<(* )  and looking at all the information WhatsApp thinks it deserves - like a couch surfing room mate asking clarifiers during a family emergency.  

Here's a better idea: Don't download it! Because the fact you need to scroll down at all to check what data an app employing the word  ‘private’ (in its product heading no less) is demanding is like - shoving a mango scented marker pen up your nostril and then checking the back of the box to determine how many servings of your daily recommended fruit intake it just counted as.",1
"I use to love this app it been at least 3 years since I first started using WhatsApp but yesterday I posted a lot of stuff on my WhatsApp channel. When I finally stopped posting stuff I didn’t use my phone for like a few hours. I few hours later I got a notification from one of my friends so I went on the app and it took me back to my home page I opened the app again and it did the same thing. So I tried restarting my phone and it didn’t work again!!!! Then I went on Apple Store to update the app but when it was done updating I try opening the app again and it kicked me back to my home page again😢 and also can u please fix the avatar they look weird. Anyway I always loved this app but if u can fix this bug I would really be happy 😃 
Thank you for reading this really long review and hope you can fix it 😉",3
"The old saying ‘it takes two to tango’ sums up my stance regarding using this app.. although it may be used slightly out of context, my experience has highlighted that the messaging/responses/and sometimes forwarded conversations or even altered images really can’t beat a face to face conversation (IRL or video chat if you must).  Dealing with another 3 or 4 understudy’s in the wings, idling the shadows (like a peeping Tom, Mark or {insert name here} highlights both the good and bad points of some of the security features in place within Whatsapp. Suppose that’s what I signed up somehow in the fine print of terms and conditions. 🤫🤓🤪",5
Today was a terrible day. i had gone to a friends house and wanted to check whatsapp to see if my mum had texted me and when i pressed it it glitched me out. i tried for a good 10 minutes and even tried going in after an hour. i didn’t even have any other apps open in my phone. i restarted my phone and offloaded the app but that didn’t work so i deleted tha app and even that didn’t work. so i decided to wait till i got home. on the car ride home i found 3 of my other friends who were at home all day had the same experience and 1 even lost ALL her chats when hers stared working. mine just started working and i’ve lost a months worth of chats and i am so disappointed. this used to happen to my phone every monday for a month and i lost 1 weeks worths of chats (this was around march). then my whatsapp updated so im guessing that was the reason. but today was different. it wasn’t just my phone. whatsapp what is this and why did it happen?,1
"Hi developers! 
WhatsApp is super useful, it’s my go-to messaging platform. I use it almost daily, and have rarely ever had problems with it. Clean, simple, easy to use, aesthetically pleasing interface, WhatsApp is great in a lot of ways. One of my issues with WhatsApp, however great it may be, is that the features regarding image sending and editing is extremely simple. I understand that you don’t want to make it too complicated, it is a messaging platform and not an art platform after all. However, I’ve noticed that when trying to mark up images and draw on them I’ll often have a particular colour that I used that I want to reuse, but there is no tool to grab a colour and use it again, and this has been quite frustrating. 

I’m not saying that you should incorporate extravagant colour pickers or a way to save old colours, that’s unnecessary. I just think it would be extremely beneficial to include a button (perhaps an eye dropper) below the colours that you can use to pick colours from an image or previous lines to match. 

I’d really appreciate your consideration, as I think it would be very useful. :)
Thanks",4
"It would be really great if you could use an emoji /thumbs up etc symbol to agree to someone. Instead, if you’re in a big group, you get every tiny boring notification just because someone needed to show they agreed with something, when you could have had just something like a ‘like’ button. 
The consonant notifications in group chats are very annoying. I know you can mute, but you never know if something is important or not until you’ve read it. If you made a like button and then an option to mute notifications for reactions (likes, dislikes etc), it would make this app a lot better, thank you.",4
