review,rating
"Perfeito!
Sem custo, sem manutenção, fácil acesso, sem chip no aparelho.
Já me acostumei tanto com o WhatsApp que tenho dificuldades de usar o telefone...",5
"Ta impossível utilizar o app, toda vez que abro a pasta com as figurinhas ele fecha e trava!",5
Baixei a ultima atualização e agora o aplicativo tranca toda vez que tento enviar fotos ou vídeos,1
Melhor de todos te amo ❤️,5
"Com esta nova atualização o WhatsApp ao sair da conversa para entrar em outra, buga o menu do rodapé.",4
"Voltei pra refazer a avaliação. Essa última atualização grava áudio, envia mas quem recebe não escuta algo. Evitem essa versão 04/09/17",1
"No IPhone 8 Plus, na versão mais atualizada do app, quando dou um scroll nas figurinhas em determinado momento o app quebra e fecha. Isso já vem há uns dois meses, aguardei atualizações mas continuou o mesmo problema.",3
"Meu app fecha sozinho sempre que pesquiso minhas figurinhas, não consigo mais entrar nas figurinhas salvas porque o aplicativo simplesmente fecha do nada. Já atualizei o software do celular e o aplicativo também",2
"Ter a chamada de vídeo e os emojis novos ia ser um app maravilhoso, arrumem isso please, muita gente reclamando disso e não tão fazendo nada",1
"O aplicativo é ótimo, muito bom. Como uma sugestão, seria a edição de mensagens, aumentando as possibilidades. Hoje já temos o cancelamento do envio, mas acredito que poder alterar uma mensagem já enviada seria de muita ajuda.

Obrigado.",5
Nova política de coleta de dados do WhatsApp para o Facebook é um absurdo. Falta de respeito com o consumidor,1
"Não está dando tempo de procurar e enviar as figurinhas , o aplicativo fecha sozinho .",3
Mano coloquem a pré-visualização dos status pelo 3D touch de novo!!! e tirem o whatsapp da opção tela escura pq ficou horrivel,1
"Olha, o aplicativo está deixando muito mesmo a desejar. Eu uso um iPhone X e sempre que vou procurar figurinhas animadas o aplicativo fica lento, trava e fecha sozinho. 
Por favor, ajeitem isso pelo amor de Deus que eu não aguento mais.",5
"Voltem com a cor azul, essa verde acabou com o app!",1
App fecha quando procuro as figuras pra enviar ... como resolver?,2
"volta pra cor azul véi 
tá feiao esse verde",1
"Quase 2020 e nada do Facebook atualizar o WhatsApp para oferecer o modo escuro.  Não tem coisa mais chata do que todos aplicativos no modo noturno, trazendo um ótimo conforto visual, e só o WhatsApp BRANCO cegando a todos. Não é possível que mudar uma cor seja tão difícil.",1
"Essa versão esta com problemas 
Nos status, quando vc esta vendo os status 
Apos passar para outro a musica ou a vos do anterior continua tocando no status atual q vc esta vendo",2
"Vocês alteraram a interface do WhatsApp no iOS está ridículo o espaço em branco entre as conversas, pelo amor de Deus concertem isso imediatamente.",1
"Última atualização está péssima para usuários de iPhone! O app trava na hora de enviar figurinha e fecha sozinho, os áudios pra ouvir precisa clicar exatamente em cima da setinha de reproducao! CORRIJAM POR FAVOR",5
"Ficou muito ruim a nova atualização. O design ficou muito ruim.
Por favor voltem a versão anterior",1
"No IOS está travando muito enquanto procura as fig ,chega sair do aplicativo. Não adianta desinstalar e instalar novamente que continua travando.",1
"Após a última atualização ao abrir vídeo/áudio dentro do app não é possível abaixar o volume pelo botão físico do iPhone 11, a barra de volume nem aparece ao apertar o botão.",1
"PÉSSIMO! Um espaçamento grande, sem necessidade, parece vago e sem organização.",1
Gostei muito,5
Depois da última atualização o app simplesmente não abre. Contatei o suporte e até o momento nenhum retorno,2
"Tenho muitas figurinhas em movimento e quando preciso procurar uma que esteja mais abaixo, o aplicativo fecha repentinamente. Ja tentei apagar e reinstalar o App, mas infelizmente não funciona. Devido a isso, não consigo usar minhas figurinhas mais antigas. O que pode ser feito para que eu consiga usar minhas figurinhas normalmente?",5
"Essa cor verde ficou estranha e não combina com o app, volta com a cor azul",1
"Versão 22.10.76 está com problema na configuração de armazenamento, tenho colocado para não baixar fotos, vídeos, áudios e quando abro novamente a configuração já tem mudado pra baixar todos pelo Wi-Fi, corrigir por favor",1
Só vai melhorar quando voltar para cor azul!!!,2
Atualizei meu whats hoje e as mensagem que chega na notificação aparece o nome da pessoa antes aparecia apenas notificação e ocultava conteúdo e nome como faço pra retorna como que estava antes ?? Espero respostas,5
Arranjem um jeito de nos podermos arrumar as figurinhas por categorias ou pastas pelo amor de Deus,4
"Travando e fechando sozinho, não posso procurar figurinha que trava e fecha o app",1
Sem recursos. O web não funciona sem o telefone estar conectado e mesmo assim perde a conexão com facilidade. Apps concorrentes dão uma surra nesse aqui. E se formos falar no quesito privacidade.... eu acho até que o app trava.,1
Azul tava melhor,3
"Tá muito feia essa cor verde (pelo menos no IOS). E o texto ta estranho também. Antes tava perfeito, mudem de volta porfavor!",1
"É inadmissível um aplicativo desses não ter nativamente um modo noturno, falta de consideração dos desenvolvedores.",1
"Após a nova atualização o download automático de mídia não desativa, se fechar o aplicativo ou depois de um tempo o download de mídia redefine automaticamente e volta a baixar tudo que te enviam automaticamente sem vc ter a escolha de decidir se qr ou não baixar a mídia.
Borá lá arrumar esta falha por favor 🙏🏽 👍🏽👍🏽
Obrigado 🙏🏽",1
