review,rating
"Hi team

I m Ravi from India🇮🇳. I m using the latest/ updated version of whatsapp(no doubts for you people also). This review i was writing after times n times observations from myself regarding whatsapp notifications. Incoming text message notification is not delivering at the real time when the phone is connected to mobile data(its delivering immediately when its connected to wifi) & also Incoming video call notification is not showing to attempt the calls, when the phone is connected to mobile data(its delivering immediately when its connected to wifi). Pls look into n update the app at the earliest time cuz we are missing some important msg's to see immediately when the phone is connected to mobile data. 

Thankyou",5
"Actually it i mean updates come all of sudden without any prior notice about the changes proposed to be implemented n the exact reasons n circumstances under which it becoming unavoidable to have updated the existing version being used at present so it becomes miserable n doubtful what is the agenda behind if you are actually anxious about welfare of your users or it is proposed to be updated only for your business interests which common user never knows what the threats he is facing day to day in terms of his privacy n data security like all other applications available on web in name of free but what the cost he is paying actually heavily being watched, heard, compromised all personal informations n followed in all the activities of his life. This way,professional integrity of even popular social media platforms becomes doubtful. You can understand my concern easily because all the practices being undertaken n in practice in electronic field are now going well known to each n every individual n that day is not more distant now that all such practices would be prosecuted heavily by the masses before the court of law, anyway carry on your monopoly till the time allows u, good luck friend",3
"Whatsapp is crashing constantly. I have been trying to open the app for quite a few days now. I have tried shutting down and restarting my phone, offloading and reloading the app, opening whatsapp with better internet connectivity, reset all my settings, reset network settings, updating whatsapp, updating ios to the latest version. Nothing seems to work. There’s still a lot of storage in my phone Whatsapp is crashing constantly. I have been trying to open the app for quite a few days now. I have tried shutting down and restarting my phone, offloading and reloading the app, opening whatsapp with better internet connectivity, reset all my settings, reset network settings, updating whatsapp, updating ios to the latest version. Nothing seems to work. There’s still a lot of storage in my phone so I know it’s not a storage problem. I even deleted the app and reinstalled it but it’s not working . A few days ago, there was an ios update to 17.0.2. Whatsapp worked for three days after that it  has stopped working completely . I also tried updating current software(17.0.3) but it’s not working . I even raised tickets from WhatsApp but it doesn’t work . I am using iPhone XR",1
"WhatsApp has always been my go-to messaging app, and the recent UI update certainly brings a fresh feel to the platform. The new icons and wallpapers add a touch of modernity, and I appreciate the effort to keep the interface engaging. However, as a user who values customization, I was slightly disappointed by the limited options for personalization. While the green accent color is synonymous with WhatsApp, it would be fantastic to see more choices available, including the ability to set custom accent colors. For example, as someone who prefers the bhagva color, it would be fantastic to have the option to change the accent color to match my preferences. Offering such customization options would not only enhance the user experience but also cater to a wider range of individual tastes. Overall, WhatsApp remains an essential tool for communication, but expanding customization features would undoubtedly elevate the user experience to new heights. Keep up the great work, WhatsApp team, and I look forward to seeing future updates!",3
"Plz what’s app customer care help people and respond them.

I switched 13pro to 16pro.
Since I have updated my phone what’s app is not working in my iPhone 16pro, whenever I click on what’s app it is forcefully closing itself or gives a black screen. Moreover I have uninstall and installed what’s app again but still the same issue is occurring. What’s app is the only way to communicate nowadays .Kindly help please asap. If you will check reviews on App Store of what’s app you will find lot of people are facing problem with what’s app. I have already shared screen recording on what’s app support email.
I formatted my phone still the same is occurring. I can’t send msg because it is crashing. Also sometimes I get notifications of what’s app call sometimes not, like if I am doing video call my phone is not showing any call , so tried audio call and than I am able to open setting and able to send my query to guys. Else I can’t open my what’s app. Do you have customer care number where I can explain over phone also . It is been 5 days that I can’t use my what’s app  as it is crashing.",1
"Hi team ,this is an serious issue in iPhone 11 when i video call to someone i see other people clearly but the problem is other side my video call is always blurry or small blurry dottes all over the video,there is no issue with my wifi or 4g mobile network my internet speed is to good ,i have another iPhone 12 pro I don’t have any problems on that iphone,whatsaap is working good on video call ,i buy iPhone 11 few days ago every day i face this problem during video call,there is nothing wrong with my iPhone as well when i call on FaceTime my video is in HD visible to other person,firstly I think may there is problems with my internet but my internet is working good then one of my friend have iPhone 11 then I checked whatsapp video call on his iphone then I realise there is problem on all iPhone 11 whatsapp ,we see the other people video clearly but other people didn’t see our video clearly,this is a serious issue please solve this problem for all iPhone whatsaap",2
"Feature request- since all mobiles now have contacts with options like home, office, mobile, etc. where user can store contact numbers as per their need. Can watsapp give us a feature where profile and status can be shared only with specific type of contact category so that we have more options to decide with whom we can share profile pic and status Eg.: profile pic can be shared only with contacts whose number is stored as Home. This way i can have all my close contacts as home and disclose profile pic and status only with them and business numbers can be stored other than home. This gives more privacy to users. Currently i have only 3 options in profile pic share- my contacts which enabled any number saved in my phone to view profile pic and status which is really privacy issue.",4
"I am an IOS user, last month I sold my iPhone 14 Pro, and on 5th of this month I bought a new IPhone 15. I had stored all my WhatsApp chats in ICloud about 17.5 bg. Now after restoring all my data I noticed that for WhatsApp there is an encryption password asking to me which I have never used. The 17.5 bg of data is very precious for me. All memories of my past so many years are present in the ICloud. After contacting all customer care I learned that I need to seek help from WhatsApp. I request to kindly look into this matter and I am ready to authentic by any other ways to assure you that the data is mine. Apple support also told me that the chat backup is safe in there ICloud but WhatsApp password is required. I have been paying 750 inr every month as to save my history as it is really important to me. As there is no means that I can speak to support team of WhatsApp, I kindly request WhatsApp team to get in touch with me. I hope WhatsApp will definitely help me solving this issue.",1
"Hi team

I m Suyash from India. I m using the latest/ updated version of whatsapp(no doubts for you people also). This review i was writing after times n times observations from myself regarding whatsapp notifications. Incoming text message notification is not delivering when the phone is connected to mobile data(its delivering immediately when its connected to wifi) & also Incoming video call notification is not showing to attempt the calls, when the phone is connected to mobile data(its delivering immediately when its connected to wifi).
Pls look into n update the app at the earliest time cuz we are missing some important msg's to see immediately when the phone is connected to mobile data.",5
"The recent updates have changed a few things which were very useful. Though it is not the case on everyone’s WhatsApp so I’m guessing this is just a bug. Whenever earlier I was in a chat and I received a message in the chat, there would be a vibration feedback which is gone now. It was super useful when multitasking so I would know the other person has sent a message. Secondly, double tapping a message would earlier bring up the options like forward, reply etc along with reactions. Now double tapping only brings up the reactions while long pressing brings up the other menus. It was quicker to double tap, and the muscle memory was already set. Now I double tap, then cancel, then long press to bring up the menu to get stuff done because of muscle memory. Kindly take note of these things and improve the app experience. The double tap issue is not on every device as I just checked my mother’s iPhone, but the vibration feedback is gone and needs to be back. 

Regards.",1
