review,rating
"WhatsApp is really good however it’s a bit hard to find some stuff and you can customise your own profile picture and you can also add a sentence about you underneath your profile picture. And say if you upgraded from messages to WhatsApp then if you had a friend who can’t find WhatsApp in the App Store then you can invite them to WhatsApp by sending an invitation in settings. Also you can turn on disappearing messages but if someone clicks on your message then they can keep the messages stopping it from disappearing from that specific person. Along with that if you’re in a group chat then you can click on your message and then info to see who has read it and you can send a message where you can only red it once. And same with if you’re on a group chat then you can easily just block one person from that group which does mean you can still see the group chat messages it’s just that you can’t see the person’s message(s) if they send any since you have blocked them.

Thank you WhatsApp for helping me over the past 9 years!",5
"TL;DR: Switch to Signal Messenger. WhatsApp now share messages, pics and videos with facebook. Whatsapp is no longer private! Quite funny that WhatsApp are copying all Signal features to try and remain a relevant messaging app. Facebook own facebook messenger, instagram and whatsapp. Things are about to change for the worse very soon: They are combining services; messages you send will be encrypted end-to-end to the recipient, but the message itself and any pictures (plus GPS tags on pics) are uploaded to Facebook, so they will see the content of your messages, pictures; from which they can then advertise stuff to you and sell your info onwards to other companies. You can switch to an opensource messaging app called ‘Signal messenger’ - open source and charity owned by a foundation. They never sell your data and information is truly encrypted end to end, never monitored by Facebook AND you can sign in on multiple devices, such as laptop and iPad, without your phone having signal service or being switched on! Signal messenger has more features than whatsapp and provides guaranteed privacy - your messages cannot be seen. But in essence Whatsapp is no longer what it originally was and you can make your voice heard by deregistering and switching to another message app of choice. The original owners of whatsapp have just left Facebook and it is now obvious why!",2
"I’m quite offended because you have a Portsmouth channel, but you don’t have a Saints channel and I think it’s quite.. you know. as a strong and proud Saints supporter, I completely argue that you shouldn’t have Pompei channel and you should definitely have a Saints channel. to be honest I think this is unacceptable behaviour. this is disgusting. you should very well put Southampton as a channel. Southampton FC. i’m sorry but Pompey fans are allowed to keep like caught up with their like team and we’re not even allowed to look at a channel that we support. my whole family is a Saints fan. do you have something against Southampton FC because if you do announce it on your WhatsApp channel because guess what I am following unlike the Southampton Channel oh which you don’t have!! this is unacceptable. and believe me, I love WhatsApp truly, but you won’t let Southampton FC have a WhatsApp channel. What is your thing against Southampton? Get back to me on that one. I am out raged at your choices. and you might not get enough complaints about this, but me and my friend do not agree. I will be expecting Southampton Channel by the end of 2024 thank you. 💔💔😡😡😡😡😡😡😥😥😪😪😭🥺🥺😔😔☹️🙁🙁",4
"I know this looks long but READ IT ALL. THIS APP 
WILL LEGIT CHANGE YOUR LIFE!!!!!!!!!!!!!!!!!!!!
Ok this app is soooooo good! I got a new phone at one point and was gutted when I couldn’t use this until my number switched! It’s even free to send nearly anything, unlike other apps where you have to pay extra for pics and stickers and calls. I can use this to call my friend in Scotland who I otherwise couldn’t contact properly. It is fun too! The stickers are amazing and you can even make them out of your own pics on your camera roll! Then you can post on your status, the group chats, so you can post multiple people at once, and the channels (I highly recommend getting the WhatsApp channel as It will give you so many hints and notices) and other apps go well with it too like Emoji+ and Bitmoji (❤️) yeah you will never get bored and I am gonna stop there even though there is so much more to tell coz you are probably getting bored of me now though you will never be bored of this app get it now!

I MEAN IT!!!!!!! 😆",5
"This App is USELESS if you’re counting on trying to restore your chat history when changing your phone! I’m livid - if I could give it zero stars I would. There is no customer helpline, only standard Troubleshooting guides, which all leave out the key info which they only say in their standard-form email reply :”We aren't able to help you restore your chats, documents, media files, backups, or call history. In most cases, the chat history and media files can only be found on your phone or the recipient's phone.” 
They omit to say this - funnily - in their marketing blurb about how you can backup all your data and restore your chat history from the cloud at the touch of a button. That is NOT true. The App does NOT systematically back up to the cloud, even if it claims to: it backs up to your PHONE. So if you change your phone, or SIM card, EVEN if you keep your number/have enough space in the cloud/connect to WiFi/ enable your iCloud Drive ... blah blah.. and do ALL the things you’re supposed to do, just FORGET about retrieving your data.

SORT IT OUT WhatsApp - many customers are now writing about this problem. Your blanket claims re: backup are, frankly, misleading advertising. And your customer service is non-existent. Do better please.",1
"Whatsap certainly has had its trials and tribulations, but from what I’ve seen so far, only access ability stuff that needed doing is working very well now, I can access a lot more stuff using voice-over than I used to be able to, and I always believe that as long as the developers listen to us, the customers and users, what ever you want to call us these days, Service users, and users, clients, patrons, whatever! then something is working the way it should! I just have one final thing to say, keep up the good work! Keep improving this program, and you make a lot of people very very happy and keep all our communication needs in check!  I talk to people around the world with this program, and I really enjoy using WhatsApp, sometimes, it’s the only thing that I can really get my hands on to use, when everything else is broken! So I’m super excited about that! It’s really good times. Anyway, thanks for keeping this going, keep up the good work, and making WhatsApp better!",5
"Works well, fairly intuitive. Only problem I’ve had is a pretty significant time delay (can be upwards of two hours) between sending a message to a person in a different country and that message being received. 

 I often use WhatsApp to message friends in Italy, but, have noticed that my messages (on average) take a couple of hours to deliver, with the occasional extreme case of my messages taking a couple days to deliver. I assume this problem is due to a culmination of slow broadband/poor mobile data connection (which is a common problem where I live), a difficulty in data package transfer and (assumable) incompatibilities with similar networks in Italy.

 Ultimately, it’s a pretty decent app, and, it’s not the end of the world in regards to the slow message delivery speed, as I appreciate that nothing is ever instantaneous, especially when it comes to tech and wireless information transfer. But, it can be frustrating when mid conversation your messages stop delivering, and you have to text the person normally to explain that you “aren’t trying to be rude” and that you “are trying to reply to their messages”, defeating the perceived purpose of the app.",3
"Considering many people use WhatsApp for private chats of a sensitive or adult nature, it really needs a passcode/password protection feature. Yes I know we can passcode protect our whole iPhones, but some of us don’t remember to turn on our iPhone’s passcode every single time we go out or meet up with other people... and yes it’s possible to leave it on all the time, but personally I find it a little inconvenient to have to enter the passcode every single time I use my iPhone... and I use mine A LOT cos it’s loaded with lots of art and photo editing apps, as well as Facebook and suchlike. And people don’t keep their phones to themselves 100% of the time... eg, I’ll often pass someone my iPhone to show them photos on it... so if someone was in a nosey mood, a few tiny little finger movements is all it would take for them to access my WhatsApp chats in all their glory. The consequences of having their private chats pried upon like this could be disastrous and absolutely traumatic for some people, such as those planning to escape domestic abuse, for example. So... PLEASE can we have passcode protection for WhatsApp?! Cheers x",4
"I love this app I love my status and I love texting my friends this app is so fun cause you get to see what your friends are doing or your friends can see what you are doing and you get to send funny videos, pictures, animations you get to make new groups and new friends you get to show a haul of stuff you got for your birthday or Christmas or 
Easter maybe on Halloween or on new years on valentine day or on a special occasion but the best thing about it is that if you want to talk to someone about stuff you can talk to them on what's app these are the three tips I give you one be safe on the internet do not text anything bad or rude two if you feel sad or down I the dumps you could text somebody and talk about it if you don’t feel like talking to your parents about it three stay happy on the internet and don’t be afraid to speak out and stay safe that is the most important three things that you need to remember and always speak out and stay positive and safe !!!",5
"Whatsapp consistently keeps auto crashing every time I open it. It’s nothing to do with my storage, my phone is updated, my app is updated. It keeps doing this. the support team has been nothing but useless, i have explained in detail the problem multiple times and they keep giving me the same advice which doesn’t work or telling me to update my app, turn off my phone, clear storage when i have told them multiple times that these are not the problems. at one point, they even told me there was nothing they could do which is such a waste of my time. they tried telling me it wasn’t a whatsapp problem which is ridiculous because their app is the only one that does this to me. they refuse to sort out the problem on their end and i’m left unable to access important messages because they won’t sort it out. I sometimes find temporary solutions which will let me access the app but without fail every single item, it resumes auto crashing for no reason. the gaps between these have gotten smaller. It would take a month for it to resume, then two weeks, then a week and now it’s only taking a matter of minutes. The app is broken, sort it out.",1
"If you asked me what I thought of whatsapp before this morning i would have said 5 stars. It was my go to messaging app but now I am regretting everything. I wish I used a different app. I woke up and was told my whatsapp needed an update. Due to having downloaded it on an old out of use apple ID i had to re-download it on my apple ID. No big deal right? Once it was re-downloaded I try to restore my data. It automatically jumps to 10% but is stuck there for the next hour. Not a good sign. I try again and again and nothing changes. im stuck at 10% and it won’t budge and i can’t use the app. i give it my contacts still nothing. I come to customer support and the site tells me it might be my i cloud storage. I go buy more. come back still nothing 10%. I use wifi i use 4g still nothing. at this point it’s 12 and i’m starting to stress. I need whatsapp for work. I try find a way to contact whatsapp to get a chat box or call going with someone who can help fix my problem. Not an option. I am able to send some question things thru but they take ages to get back to me. I need my whatsapp up and running, I haven’t been able to access it since the moment i woke up till now, it’s almost 2.",1
"I love WhatsApp, it’s so easy to use and it’s a lovely way to communicate with my friends and family online. I love sharing on my status so my friend and family can see what I’m up to. You can text, FaceTime, call, voice message or even send photos or videos. I go on WhatsApp every single day because it’s just so good! You can add peoples numbers on WhatsApp too and you can create your own groups which is quite fun, I couldn’t even count how many groups have been made by me and my friends. The only thing that I wish didn’t happen with WhatsApp is that when you go onto WhatsApp and you have full storage it will say go and delete some apps or photos and block you out of WhatsApp until you’ve deleted some photos or apps, my storage gets full very quickly as well because I love to take photos and videos wherever I go so it is a bit annoying for me but on the positive side it is really good and I love to use it so if you don’t have it I recommend that you download it and use it because it is one of my favourite apps on my phone!",4
"Great but, one problem, one part of WhatsApp doesn’t fit the screen and it’s so big you can’t get out of it. I tried switching my phone off, didn’t work. I had to restart my phone☹️. Otherwise it’s brilliant but PLEASE FIX. Sadly im giving four stars. Fix it if you want the final star. Please support iPad. I’m begging you Update: Thank you for fixing the bug. Now WhatsApp is FLAWLESS!!! Still though please support iPad. Me and my friend want to chat, but we can’t cos he has iPad. Please please please. Update 2: you said you were adding undo send. I guess not. I have waited and you haven’t added it. PLEASE REPLY. Bye the way I’m not allowed to send emails to random people. So please send all the answers in one email. Thanks. Update:3 Right what are your updates for. You say in your updates that you are adding features. In later updates you say you will add those features when they have already been added. Otherwise brilliant except that it is made by meta",5
"The messages work an seems ok, sending pics & videos great, unsure security .. intelligence can usually see screen of divicê or have encryption keys .. some snuck in law whilst public sector didn’t know about it prob says they can ethically hack in if terrorism is suspected.. 
Listen thru the mic an look thru the cameras who’s typing, expressions whilst on phone , see live screen , look thru contacts and pic gallery, use a connected watch etc to see your surroundings effect your body and your heart’s rhythm etc, if it’s a permission required you have to accept it in some form this app will allow all access to your phone,  I like that the chats can be backed, although can be annoying waking up an seeing deleted messages with then no idea what it said but could mean anything.. paranoid people , or those involved with criminal activity often don’t trust anything else.. encryption is good  and two factor authentication ensures an actual phone line.",5
"I think WhatsApp is great! You can use WhatsApp to keep in contact with your friends and family! calls,texts and voice messages and even video messages (which is currently in beta and not everyone has at the moment) (I don’t have it)keeps you viewers updated with your status where you can post pictures,videos and even voice messages! The only annoying thing about WhatsApp is when you don’t have much storage left and it kicks you off of WhatsApp I think they should fix that! But in general I think WhatsApp is amazing and I think they should make it so everyone can do the same things on WhatsApp instead of waiting because I’ve updated WhatsApp and still haven’t got video messages so please can I get it? thank you!! 
Edit: hey I currently see you can’t add to Status with linked devices. Maybe you could add that bec I wasn’t aloud my phone for a while I still had my tablet but I wasn’t able to add to my status. So maybe that’s a suggestion! Hope it’s added!",4
