review,rating
"The most recent update of voice messages is exactly what I've been waiting for! Voice messages have become such an important way to communicate over whatsapp now and the new update allows me to write notes or work in something else simultaneously while listening to my voice notes. Thank you. Plus, I can close my screen and still listen - saving battery life. 

The only other thing at this point I'd love to see are more quality options for sharing large videos or images. Ie: be able to send your content in either a high quality version or dramatically smaller and compressed version (to save data). With that, could you also display how long a video can be to be sent completely, as I've had situations of videos I've made being cut in half due to (I'm assuming) length or size. 

Thank you for constantly making this app even better!",5
"WhatsApp has been around for a while now, it mature, stable and reliable.

However I keep running into this issue whereby voice notes don't play from the loudspeaker, making them inaudible. I’m forced to force close the app and then reopen it, then only will the voicenote play from my phone loudspeakers. I had this issue on my 11, 12 Pro and now 15 Pro Max.

Please fix this bug cause it's seriously inconveniencing to have to force close the app just so that I can hear a voice note. The app must be able to differentiate voicenotes from calls, cause when I experience that issue, my voicenotes will be playing from the earpiece speaker at the top🤷🏾‍♂️...after restarting the app then it begins to play from my bottom speakers",5
"I’m going to try to keep this short (hope this helps).

Honestly… WhatsApp has been improving. From the text messages and addition of features such as : 
- sending video notes, 
-voice notes, 
- and even being able to like statuses
- muting annoying chats, 
- selecting favorite chats 
-mentioning friends in posts 
-channels(the meme and soccer ones especially)
- and finally my bestie meta AI… etc 

 Some say it’s starting to look like Instagram… but honestly it’s a nice app. I actually believe everyone with a smartphone has it (monopoly?). 

 It’s effective and enjoyable - fits right in this world of tech. 

If you want a chill communication app that everyone has (I think should have), WhatsApp  should be in my opinion your first pick. 
 
I'm sure the team’s always working on improving but As a user some suggestions I have that are according to my individual desires/thoughts: 

- giving us options to make it aesthetic with our style while still keeping the WhatsApp feel(fonts, color, layout etc) 
- and maybe allowing us to put GIFs as our profile photos? (just a weird idea) 

We really appreciate all the teams hard work.",5
"Recently my WhatsApp expired.   What a nightmare for the aged.  I am in touch with people suffering cancer and sometimes emotional problems after losing a loved one, whatever.  I didn’t expect that to happen!  What a stressful time I had,  not being able to communicate! Trying to reconnect was such a battle!  I also make pickles to try and earn extra money to survive this crazy life we are living!  By mistake my WhatApp was  removed and I lost all my info since April! A kind young man helped me to get reconnected!  This can’t happen again!  I was soooo stressed!! 
Thank you for your amazing service to our world. I hope never to be in that situation again! 
This is not good for the aged with minimal knowledge of technology!!!",5
"Hi,
In a group, where you are admin and you chose to make the group admin only to send messages. Because you don’t want the group members to get irritated by lots of comments.. 
I see you can’t turn the likes on or off.. even though messaging says admin only, members can still like the messages with different emojis, so people still get irritated by those notifications , but I don’t want them to mute the group and then miss important messages from the admin. please give the admin and members the option to silent notifications for the likes only or all together, 2 options. Or the choice to only get notified when an admin sends a message. Please let me know if you could do this upgrade? It will make the whole experience so much better. Thank you for the wonderful app",4
"Hi guys.

So recently WhatsApp brought out this new update. I have one issue, and I’m sure I’m not the only one. The archive feature, I have used this feature since WhatsApp brought it out. I thought it was brilliant. It kept my chats organised and manageable. When an individual messaged me their chat from the archive would then move back into my chats to monitor and track again. WhatsApp has now introduced a new feature where archived messages remain archived even after an individual messages you. It doesn’t  notify you either… if anything, you guys have taken a step backwards with the feature. Please could I ask that you bring back the feature where it pushes the chat back into the chats menu? My chats menu is now getting cluttered again and I’m too afraid to archive them in fear that I miss something important. Please guys🙏",3
"I mean whatsapp really needs to stOp reducing video quality when uploading or sending it Alternatively cant we have the option to choose if we want high-speed over quality or Quality over speed?! Its really annoying when u post a nice HD or 4K video from iPhone only for it to appear like i shot it with an old 70's camera.. ruins the whole idea of perfect picture or video memories, tiktok atleast has the options if ud like to send video as high quality or not.. amin it shud be my choice to spend more data / space and wait hours for its upload or not. Otherwise video calls and voice notes have greatly improved thats for the 2stars.. the uploading of reduced quality is what sets me completely off and disappear for days on whatsapp since instagram , twitter and tiktok has the best uploading settings thus far",2
"I was disappointed that when I changed cell phones from iPhone 5s to 7 I lost all my Whatsapp histories. I had thought Whatsapp had its own saving method. I hadn’t saved Whatsapp to the iCloud. I didn’t think that was necessary. Anyhow I found that kind of disappointing. 

I wanted to send Whatsapp’s to myself e.g. when I need to make a quick note about something. I couldn’t do that on my new phone. I had to create a group Whatsapp and delete everyone else but me. Then only could I send Whatsapp’s to myself. 

I get a lot of joy out of Whatsapp. I like knowing that a message is delivered or read. I use voice note to help me memorize stuff. We use video calls to be in touch with loved ones.",5
"I dislike the new version of WhatsApp. My
Phone automatically updated itself and I hate the new version so much. I hate that you now can’t view your own status updates as a list and be able to delete them simultaneously. Now when you click on your status updates it automatically starts playing them all and if you want to delete them, you have to do it one by one. It’s so annoying. Also you can’t hold or pause statuses anymore. They just play even if you want to read something the video or text just passes. I don’t understand why this change was made. It’s a stupid change.",5
"I do not like the new update that has been added to the new community feature where the communities are now added to the main chats column and you can’t access groups individually without having to go through the community. There’s a community tab for that reason. This is tedious because if you are only part of 1 group in the community, you have to go through such a lengthy process to access just that 1 group. And you can’t even leave the community because then you will leave the group you want access to which is annoying. The way the community feature was set before the update was so much better. So changing it back or giving people the option of leaving the community but still choosing which groups they would like to be part of would result in a much better user experience.",1
